Date,Open,High,Low,Close,Adj Close,Volume
2021-01-04,530.0,540.0,528.0,536.0,531.6082153320312,38770328
2021-01-05,536.0,542.0,535.0,542.0,537.5590209960938,34411866
2021-01-06,555.0,555.0,541.0,549.0,544.5016479492188,53030554
2021-01-07,554.0,570.0,553.0,565.0,560.3705444335938,51166782
2021-01-08,580.0,580.0,571.0,580.0,575.2476806640625,59563555
2021-01-11,577.0,584.0,574.0,584.0,579.2149047851562,48810990
2021-01-12,583.0,597.0,582.0,591.0,586.1575317382812,50232426
2021-01-13,595.0,605.0,593.0,605.0,600.0427856445312,62662393
2021-01-14,587.0,597.0,587.0,592.0,587.1493530273438,75288477
2021-01-15,621.0,625.0,601.0,601.0,596.0756225585938,92010500
2021-01-18,608.0,608.0,594.0,607.0,602.0264282226562,45726476
2021-01-19,618.0,632.0,613.0,627.0,621.862548828125,50672866
2021-01-20,633.0,650.0,631.0,647.0,641.6986694335938,82066422
2021-01-21,640.0,679.0,640.0,673.0,667.4856567382812,89019137
2021-01-22,649.0,665.0,649.0,649.0,643.6823120117188,125179403
2021-01-25,642.0,646.0,626.0,633.0,627.8133544921875,93050133
2021-01-26,632.0,640.0,610.0,617.0,611.9444580078125,100153482
2021-01-27,618.0,625.0,611.0,615.0,609.9608764648438,59985191
2021-01-28,600.0,608.0,598.0,601.0,596.0756225585938,96447533
2021-01-29,619.0,619.0,591.0,591.0,586.1575317382812,90745237
2021-02-01,595.0,612.0,587.0,611.0,605.99365234375,67462398
2021-02-02,629.0,638.0,622.0,632.0,626.8215942382812,78429188
2021-02-03,638.0,642.0,630.0,630.0,624.8380126953125,48738970
2021-02-04,626.0,632.0,620.0,627.0,621.862548828125,46371900
2021-02-05,638.0,641.0,631.0,632.0,626.8215942382812,53267273
2021-02-17,663.0,668.0,660.0,663.0,657.567626953125,107614290
2021-02-18,664.0,665.0,656.0,660.0,654.5921630859375,53109010
2021-02-19,656.0,657.0,647.0,652.0,646.65771484375,50279585
2021-02-22,660.0,662.0,650.0,650.0,644.674072265625,36474610
2021-02-23,641.0,643.0,633.0,641.0,635.7478637695312,50076333
2021-02-24,627.0,636.0,625.0,625.0,619.8789672851562,66206750
2021-02-25,636.0,636.0,628.0,635.0,629.7969970703125,43231417
2021-02-26,611.0,618.0,606.0,606.0,601.0346069335938,111861175
2021-03-02,621.0,622.0,609.0,609.0,604.0100708007812,54041533
2021-03-03,609.0,622.0,601.0,622.0,616.9035034179688,48252965
2021-03-04,609.0,611.0,601.0,601.0,596.0756225585938,67711962
2021-03-05,588.0,605.0,584.0,601.0,596.0756225585938,79918467
2021-03-08,608.0,610.0,598.0,598.0,593.1001586914062,43219772
2021-03-09,585.0,595.0,585.0,595.0,590.124755859375,68768861
2021-03-10,601.0,601.0,593.0,597.0,592.1083984375,40146301
2021-03-11,596.0,612.0,595.0,609.0,604.0100708007812,54416046
2021-03-12,615.0,618.0,609.0,614.0,608.9690551757812,33168846
